"","peaks","fips","cases","county","state","Region","lat","lng","population","per_dem","urban_code","median.income","unemployed.rate"
"45","peak 1","01089",95.7142857142857,"Madison","Alabama","South",34.7631,-86.5502,362276,0.44815600178675,2,68609,4.6
"46","peak 1","01091",7.28571428571429,"Marengo","Alabama","South",32.2477,-87.7895,19321,0.50348623853211,7,38838,6.2
"47","peak 1","01093",7.42857142857143,"Marion","Alabama","South",34.1366,-87.8871,29866,0.105960744549866,7,44675,5.1
"48","peak 1","01095",39.7142857142857,"Marshall","Alabama","South",34.367,-86.3066,95643,0.149867608120035,4,48913,4.2
"49","peak 1","01097",149.714285714286,"Mobile","Alabama","South",30.7872,-88.2058,414114,0.433895306938045,2,49492,7.9
"50","peak 1","01099",8.71428571428571,"Monroe","Alabama","South",31.5709,-87.3655,21270,0.417604049493813,7,40005,8.2
"51","peak 1","01101",69,"Montgomery","Alabama","South",32.2203,-86.2076,226941,0.650894199053854,2,52711,7.8
"52","peak 1","01103",30.4285714285714,"Morgan","Alabama","South",34.4535,-86.8529,119213,0.24634228062991,3,54355,4.5
"53","peak 1","01105",8.42857142857143,"Perry","Alabama","South",32.6385,-87.2944,9293,0.738049713193117,8,29572,10.9
"54","peak 1","01107",3.57142857142857,"Pickens","Alabama","South",33.2808,-88.0888,20243,0.416011584609019,3,40249,6.5
"55","peak 1","01109",7.42857142857143,"Pike","Alabama","South",31.8027,-85.9409,33333,0.407196011848855,6,41271,4.9
"56","peak 1","01111",4.57142857142857,"Randolph","Alabama","South",33.2938,-85.4591,22647,0.203285041985789,6,42922,4.7
"57","peak 1","01113",17,"Russell","Alabama","South",32.2884,-85.1849,57952,0.526419428946505,2,43670,5.1
"58","peak 1","01115",25.2857142857143,"St. Clair","Alabama","South",33.7157,-86.3146,87989,0.17425350464661,1,65403,4.9
"59","peak 1","01117",57.7142857142857,"Shelby","Alabama","South",33.2643,-86.6607,213432,0.289412788168769,1,77801,3.9
"60","peak 1","01119",2.57142857142857,"Sumter","Alabama","South",32.5911,-88.1988,12797,0.738833253854713,8,29209,7
"61","peak 1","01121",23.2857142857143,"Talladega","Alabama","South",33.3801,-86.1659,80387,0.368393012365757,4,47719,7
"62","peak 1","01123",10.1428571428571,"Tallapoosa","Alabama","South",32.8624,-85.7975,40541,0.279119622695441,6,47100,6.9
"63","peak 1","01125",48,"Tuscaloosa","Alabama","South",33.2896,-87.5251,207305,0.418810717295835,3,52307,6.6
"64","peak 1","01127",15.8571428571429,"Walker","Alabama","South",33.8033,-87.2973,64110,0.155085017645172,1,45991,5.8
"65","peak 1","01129",7.42857142857143,"Washington","Alabama","South",31.4076,-88.2078,16541,0.254393871113114,8,48864,8
"66","peak 1","01131",5.28571428571429,"Wilcox","Alabama","South",31.9893,-87.3082,10681,0.685753006945621,9,30998,14.7
"67","peak 1","01133",4.57142857142857,"Winston","Alabama","South",34.1492,-87.3737,23784,0.0863169088975541,6,40827,4.7
"68","peak 1","02013",0.142857142857143,"Aleutians East Borough","Alaska","West",55.3665,-161.9813,3385,NA,9,66923,4
"69","peak 1","02016",0.428571428571429,"Aleutians West Census Area","Alaska","West",52.798,-106.6061,5698,NA,9,84726,4.5
"70","peak 1","02020",54.8571428571429,"Anchorage","Alaska","West",61.1508,-149.1091,293531,NA,2,82512,7.4
"71","peak 1","02050",0.285714285714286,"Bethel Census Area","Alaska","West",60.9132,-159.818,18134,NA,7,48262,11.6
"72","peak 1","02068",0.142857142857143,"Denali Borough","Alaska","West",63.6716,-150.0117,2246,NA,8,78434,15.7
"73","peak 1","02070",0,"Dillingham Census Area","Alaska","West",59.7991,-158.2351,4961,NA,9,57436,8.2
"74","peak 1","02090",8,"Fairbanks North Star Borough","Alaska","West",64.8078,-146.5654,99072,NA,3,74076,6.4
"75","peak 1","02100",0.142857142857143,"Haines Borough","Alaska","West",59.1199,-135.5,2518,NA,9,62548,15.6
"76","peak 1","02110",2.71428571428571,"Juneau City and Borough","Alaska","West",58.4546,-134.1739,32227,NA,5,85419,6.6
"77","peak 1","02122",13.7142857142857,"Kenai Peninsula Borough","Alaska","West",60.2654,-151.5652,58464,NA,7,68625,9.1
"78","peak 1","02130",1.28571428571429,"Ketchikan Gateway Borough","Alaska","West",55.5852,-130.9288,13800,NA,7,75706,9.6
"79","peak 1","02150",0.142857142857143,"Kodiak Island Borough","Alaska","West",57.677,-153.7806,13451,NA,7,79669,6.2
"80","peak 1","02158",0,"Kusilvak Census Area","Alaska","West",62.155,-163.3826,8250,NA,9,35369,19.4
"81","peak 1","02170",5.57142857142857,"Matanuska-Susitna Borough","Alaska","West",62.3162,-149.5714,105369,NA,2,75856,8.3
"82","peak 1","02180",0.142857142857143,"Nome Census Area","Alaska","West",64.9111,-164.0272,9988,NA,7,58464,10.5
"83","peak 1","02185",0.285714285714286,"North Slope Borough","Alaska","West",69.3122,-153.481,9792,NA,7,84784,5.9
"84","peak 1","02188",0.857142857142857,"Northwest Arctic Borough","Alaska","West",67.053,-159.721,7715,NA,7,61660,12
"85","peak 1","02195",0,"Petersburg Borough","Alaska","West",57.1195,-132.9345,3257,NA,9,71296,8.7
"86","peak 1","02198",0.142857142857143,"Prince of Wales-Hyder Census Area","Alaska","West",55.7997,-133.0192,6407,NA,9,50049,9.2
"87","peak 1","02220",0.571428571428571,"Sitka City and Borough","Alaska","West",57.2401,-135.3153,8640,NA,7,80660,6.9
"88","peak 1","02240",0.285714285714286,"Southeast Fairbanks Census Area","Alaska","West",63.8763,-143.2118,6878,NA,9,69646,7.4
"89","peak 1","02261",3.28571428571429,"Valdez-Cordova Census Area","Alaska","West",61.562,-144.4686,9243,NA,9,74574,8.7
"90","peak 1","02275",0,"Wrangell City and Borough","Alaska","West",56.3317,-132.0223,2502,NA,9,62496,8.4
"91","peak 1","02290",1.85714285714286,"Yukon-Koyukuk Census Area","Alaska","West",65.5086,-151.3896,5377,NA,9,42063,12.1
"92","peak 1","02997",0.142857142857143,"Bristol Bay plus Lake and Peninsula","Alaska","West",NA,NA,NA,NA,NA,NA,NA
"93","peak 1","02998",0.285714285714286,"Yakutat plus Hoonah-Angoon","Alaska","West",NA,NA,NA,NA,NA,NA,NA
"94","peak 1","04001",25.7142857142857,"Apache","Arizona","West",35.3955,-109.4888,71511,0.662052695904272,6,35386,12.8
"95","peak 1","04003",18.2857142857143,"Cochise","Arizona","West",31.8796,-109.7512,125867,0.392439601144312,3,48650,7
"96","peak 1","04005",26.1428571428571,"Coconino","Arizona","West",35.8387,-111.7705,141274,0.609412919586617,3,58301,9.7
"97","peak 1","04007",20.1428571428571,"Gila","Arizona","West",33.7997,-110.8117,53546,0.323108606113158,4,45980,7.7
"98","peak 1","04009",9.71428571428571,"Graham","Arizona","West",32.9326,-109.8875,37996,0.269005068018138,7,50685,6.3
"99","peak 1","04011",1.28571428571429,"Greenlee","Arizona","West",33.2152,-109.2402,9522,0.320498915401302,7,68066,5.5
"100","peak 1","04012",4,"La Paz","Arizona","West",33.7294,-113.9816,20793,0.299731903485255,6,39407,7.1
"101","peak 1","04013",1709.42857142857,"Maricopa","Arizona","West",33.349,-112.4915,4328810,0.502916923374286,1,68634,7.4
"102","peak 1","04015",48.7142857142857,"Mohave","Arizona","West",35.7041,-113.758,207695,0.237151998471897,3,49712,10
"103","peak 1","04017",37.2857142857143,"Navajo","Arizona","West",35.3997,-110.3214,109270,0.45155746094278,4,40676,10.1
"104","peak 1","04019",195.571428571429,"Pima","Arizona","West",32.0974,-111.7899,1027207,0.585674095269187,2,56150,7.7
"105","peak 1","04021",116.714285714286,"Pinal","Arizona","West",32.9044,-111.3448,432793,0.405897198938591,1,62067,7.5
"106","peak 1","04023",23.5714285714286,"Santa Cruz","Arizona","West",31.5259,-110.8465,46480,0.671642554061653,4,47779,11.4
"107","peak 1","04025",20.7142857142857,"Yavapai","Arizona","West",34.5999,-112.554,228067,0.346189279731993,3,54242,7.5
"108","peak 1","04027",131.571428571429,"Yuma","Arizona","West",32.7695,-113.9056,209468,0.460629808654864,3,47024,17.1
"109","peak 1","05001",4.85714285714286,"Arkansas","Arkansas","South",34.2908,-91.3749,17914,0.28893833439288,6,52539,4
"110","peak 1","05003",6.14285714285714,"Ashley","Arkansas","South",33.1912,-91.7685,20270,0.26810497098158,7,47744,9.3
"111","peak 1","05005",1.57142857142857,"Baxter","Arkansas","South",36.2872,-92.337,41427,0.220640738801352,7,41950,5.9
"112","peak 1","05007",46,"Benton","Arkansas","South",36.3387,-94.2561,265759,0.352333377810394,2,70775,4.5
"113","peak 1","05009",4.14285714285714,"Boone","Arkansas","South",36.3086,-93.0915,37331,0.17903470842585,7,50083,5.3
"114","peak 1","05011",1.85714285714286,"Bradley","Arkansas","South",33.4664,-92.1624,10874,0.33223864258347,7,39982,5.8
"115","peak 1","05013",0.571428571428571,"Calhoun","Arkansas","South",33.558,-92.503,5192,0.219523373052246,9,48415,5.2
"116","peak 1","05015",5.14285714285714,"Carroll","Arkansas","South",36.341,-93.5382,27965,0.34101890311096,6,43841,5.7
"117","peak 1","05017",6.57142857142857,"Chicot","Arkansas","South",33.2672,-91.294,10615,0.550816475749452,7,37014,10.3
"118","peak 1","05019",4.14285714285714,"Clark","Arkansas","South",34.051,-93.1764,22386,0.409529481834425,7,44105,5.9
"119","peak 1","05021",2,"Clay","Arkansas","South",36.3683,-90.4175,14889,0.185606791433533,7,40686,6
"120","peak 1","05023",2.57142857142857,"Cleburne","Arkansas","South",35.5381,-92.0267,25100,0.156782334384858,6,46214,7.6
"121","peak 1","05025",2,"Cleveland","Arkansas","South",33.8984,-92.1852,8128,0.180833333333333,3,53773,6.1
"122","peak 1","05027",3.85714285714286,"Columbia","Arkansas","South",33.2143,-93.2273,23776,0.326601671309192,7,42964,6.8
"123","peak 1","05029",1.14285714285714,"Conway","Arkansas","South",35.2622,-92.7013,20858,0.301093839953944,6,46924,6
"124","peak 1","05031",29.4285714285714,"Craighead","Arkansas","South",35.8308,-90.6328,107345,0.309547921373114,3,47766,5.3
"125","peak 1","05033",12.4285714285714,"Crawford","Arkansas","South",35.5885,-94.2429,62739,0.205844506247146,2,44600,5.4
"126","peak 1","05035",19,"Crittenden","Arkansas","South",35.2079,-90.3089,48672,0.520193071424207,1,41976,8.3
"127","peak 1","05037",4.71428571428571,"Cross","Arkansas","South",35.2957,-90.7712,16824,0.255257850763469,6,45273,6.1
"128","peak 1","05039",1.57142857142857,"Dallas","Arkansas","South",33.9698,-92.6544,7279,0.363533408833522,6,41314,5.3
"129","peak 1","05041",2.57142857142857,"Desha","Arkansas","South",33.8333,-91.254,11709,0.484149855907781,6,37005,7
"130","peak 1","05043",3.28571428571429,"Drew","Arkansas","South",33.5895,-91.72,18417,0.351187029530979,6,44162,6.9
"131","peak 1","05045",19.5714285714286,"Faulkner","Arkansas","South",35.147,-92.332,123624,0.337087528477989,2,58482,5.4
"132","peak 1","05047",4.85714285714286,"Franklin","Arkansas","South",35.5123,-93.8906,17738,0.182353766306635,6,45670,5.6
"133","peak 1","05049",0.428571428571429,"Fulton","Arkansas","South",36.3817,-91.8182,12231,0.202187927329557,9,32926,5.1
"134","peak 1","05051",21.8571428571429,"Garland","Arkansas","South",34.5767,-93.1504,98555,0.317767370302496,3,45786,8
"135","peak 1","05053",4.28571428571429,"Grant","Arkansas","South",34.29,-92.4236,18126,0.154634146341463,2,58566,5.2
"136","peak 1","05055",7.57142857142857,"Greene","Arkansas","South",36.1176,-90.559,44937,0.189937888198758,4,47098,6
"137","peak 1","05057",5.14285714285714,"Hempstead","Arkansas","South",33.7353,-93.6685,21842,0.312207943925234,6,40867,5.2
"138","peak 1","05059",6.14285714285714,"Hot Spring","Arkansas","South",34.3176,-92.946,33597,0.245440789997611,6,45860,5.8
"139","peak 1","05061",8.28571428571429,"Howard","Arkansas","South",34.0888,-93.9935,13311,0.277203144393877,6,41427,5
"140","peak 1","05063",13.7142857142857,"Independence","Arkansas","South",35.7415,-91.5697,37427,0.193357221609702,7,47903,5.8
"141","peak 1","05065",0.857142857142857,"Izard","Arkansas","South",36.0949,-91.9134,13570,0.175731497418244,9,40233,8.4
"142","peak 1","05067",0.714285714285714,"Jackson","Arkansas","South",35.5992,-91.2145,17027,0.268120212139069,6,38636,7.1
"143","peak 1","05069",20.2857142857143,"Jefferson","Arkansas","South",34.2688,-91.9315,69282,0.595476587964067,3,40555,8
"144","peak 1","05071",10.5714285714286,"Johnson","Arkansas","South",35.5701,-93.4599,26372,0.240366392924826,7,40396,6.3
"145","peak 1","05073",1.14285714285714,"Lafayette","Arkansas","South",33.2409,-93.6071,6800,0.31317655841732,8,37164,7.6
"146","peak 1","05075",2.14285714285714,"Lawrence","Arkansas","South",36.0412,-91.1071,16549,0.184394741335155,6,39604,6.1
"147","peak 1","05077",1.57142857142857,"Lee","Arkansas","South",34.7806,-90.7821,9194,0.499648876404494,7,30421,7.5
"148","peak 1","05079",3.85714285714286,"Lincoln","Arkansas","South",33.9575,-91.7333,13455,0.266322580645161,3,44272,6
"149","peak 1","05081",2.14285714285714,"Little River","Arkansas","South",33.7005,-94.2343,12347,0.236816689202241,3,43257,6.4
"150","peak 1","05083",1.71428571428571,"Logan","Arkansas","South",35.2153,-93.7162,21668,0.187720364741641,6,42249,6.6
"151","peak 1","05085",12,"Lonoke","Arkansas","South",34.7542,-91.8888,72528,0.218054921401083,2,62782,5.5
"152","peak 1","05087",2,"Madison","Arkansas","South",36.011,-93.7245,16211,0.212624132771052,2,48016,3.9
"153","peak 1","05089",0.428571428571429,"Marion","Arkansas","South",36.2684,-92.6842,16476,0.204051712648274,9,38760,6.4
"154","peak 1","05091",8,"Miller","Arkansas","South",33.3121,-93.8916,43572,0.256821344303951,3,50905,6.9
"155","peak 1","05093",12.7142857142857,"Mississippi","Arkansas","South",35.7638,-90.0542,42126,0.369308053800032,4,39990,9
"156","peak 1","05095",1.14285714285714,"Monroe","Arkansas","South",34.6778,-91.2039,7050,0.407315340909091,7,34289,6.7
"157","peak 1","05097",0.571428571428571,"Montgomery","Arkansas","South",34.5388,-93.6596,8950,0.188742576813839,8,39591,6.8
"158","peak 1","05099",1,"Nevada","Arkansas","South",33.664,-93.3072,8351,0.320428826682549,7,36528,5.9
"159","peak 1","05101",9.57142857142857,"Newton","Arkansas","South",35.92,-93.2179,7812,0.177338669334667,9,37648,5
"160","peak 1","05103",1.71428571428571,"Ouachita","Arkansas","South",33.5934,-92.8819,23830,0.414892512202721,7,46393,6
"161","peak 1","05105",0.428571428571429,"Perry","Arkansas","South",34.9474,-92.9315,10355,0.218716230819105,2,50560,5.5
"162","peak 1","05107",5.14285714285714,"Phillips","Arkansas","South",34.4283,-90.848,18606,0.580422941364947,6,31521,9.1
"163","peak 1","05109",3.14285714285714,"Pike","Arkansas","South",34.1635,-93.6563,10756,0.151672162034856,9,44426,5.9
"164","peak 1","05111",3.28571428571429,"Poinsett","Arkansas","South",35.574,-90.663,23896,0.189336524398351,3,40536,5.5
"165","peak 1","05113",2.28571428571429,"Polk","Arkansas","South",34.4859,-94.2281,20094,0.146760895170789,7,39722,6.6
"166","peak 1","05115",24.2857142857143,"Pope","Arkansas","South",35.4476,-93.0342,63761,0.236247544204322,5,47519,5.9
"167","peak 1","05117",1,"Prairie","Arkansas","South",34.8298,-91.5528,8189,0.187124463519313,8,46205,5.3
"168","peak 1","05119",89.8571428571429,"Pulaski","Arkansas","South",34.77,-92.3119,392967,0.59984348890301,2,52684,7.4
"169","peak 1","05121",5.57142857142857,"Randolph","Arkansas","South",36.3415,-91.0277,17695,0.178361714621257,7,42875,5.9
"170","peak 1","05123",15.2857142857143,"St. Francis","Arkansas","South",35.022,-90.7478,25900,0.507034327518289,6,34389,7.9
"171","peak 1","05125",21,"Saline","Arkansas","South",34.6466,-92.6765,119415,0.281957197282256,2,66944,5.1
"172","peak 1","05127",1.42857142857143,"Scott","Arkansas","South",34.8608,-94.0633,10376,0.136018023092087,6,38065,4.5
"173","peak 1","05129",0.285714285714286,"Searcy","Arkansas","South",35.9109,-92.6996,7908,0.146305051007713,9,34712,6.4
"174","peak 1","05131",33.7142857142857,"Sebastian","Arkansas","South",35.1993,-94.2742,127591,0.307318625371235,2,48945,6
"175","peak 1","05133",5.57142857142857,"Sevier","Arkansas","South",33.9972,-94.2412,17081,0.214532871972318,6,43493,5.8
"176","peak 1","05135",1.57142857142857,"Sharp","Arkansas","South",36.1612,-91.4799,17139,0.1847739888977,7,37591,7.1
"177","peak 1","05137",1.57142857142857,"Stone","Arkansas","South",35.8599,-92.1567,12475,0.198720107780397,9,36930,7.1
"178","peak 1","05139",8,"Union","Arkansas","South",33.1713,-92.5972,39449,0.336243752634431,7,46602,8.3
"179","peak 1","05141",0.714285714285714,"Van Buren","Arkansas","South",35.5806,-92.5157,16642,0.20404764954528,8,38096,7.1
"180","peak 1","05143",61.1428571428571,"Washington","Arkansas","South",35.9791,-94.2156,232289,0.46489720577939,2,52158,4.6
"181","peak 1","05145",7.28571428571429,"White","Arkansas","South",35.2563,-91.7455,78762,0.193556742755383,4,46388,6.2
"182","peak 1","05147",0.142857142857143,"Woodruff","Arkansas","South",35.1863,-91.2431,6533,0.345718901453958,9,36568,5.8
"183","peak 1","05149",6.28571428571429,"Yell","Arkansas","South",35.0026,-93.4112,21464,0.19047619047619,6,44469,5.1
"184","peak 1","06001",159.142857142857,"Alameda","California","West",37.6469,-121.8889,1656754,0.802296249727225,1,107589,8.8
"185","peak 1","06003",0,"Alpine","California","West",38.5972,-119.8207,1039,0.642375168690958,8,58112,11.2
"186","peak 1","06005",3.42857142857143,"Amador","California","West",38.4464,-120.6511,38429,0.365572594386154,6,62640,9.1
"187","peak 1","06007",24.2857142857143,"Butte","California","West",39.6669,-121.6007,225817,0.494169067638815,3,58394,9.2
"188","peak 1","06009",2,"Calaveras","California","West",38.2046,-120.5541,45514,0.369827713149757,6,68248,7.6
"189","peak 1","06011",6,"Colusa","California","West",39.1775,-122.237,21454,0.406741290403723,6,59048,16
"190","peak 1","06013",171.714285714286,"Contra Costa","California","West",37.9191,-121.9278,1142251,0.716387660650689,1,106555,8.9
"191","peak 1","06015",3,"Del Norte","California","West",41.7431,-123.8972,27495,0.408400279427174,7,48979,9.5
"192","peak 1","06017",12.1428571428571,"El Dorado","California","West",38.7787,-120.5247,188563,0.444479842945461,1,86202,8.3
"193","peak 1","06019",318.142857142857,"Fresno","California","West",36.7582,-119.6493,984521,0.529112494483415,2,56926,11.3
"194","peak 1","06021",6.42857142857143,"Glenn","California","West",39.5982,-122.392,27976,0.353790294013461,6,55682,8.9
"195","peak 1","06023",2.42857142857143,"Humboldt","California","West",40.6993,-123.8756,135940,0.650432963328878,5,51134,8.4
"196","peak 1","06025",65.8571428571429,"Imperial","California","West",33.0395,-115.3654,180701,0.611410839592369,3,48102,22.5
"197","peak 1","06027",0.714285714285714,"Inyo","California","West",36.5111,-117.4107,17977,0.48876700769961,7,59605,7.8
"198","peak 1","06029",973.714285714286,"Kern","California","West",35.3429,-118.7299,887641,0.436941807054445,2,53245,12.5
"199","peak 1","06031",62.8571428571429,"Kings","California","West",36.0753,-119.8155,150691,0.426353230881481,3,57297,11.6
"200","peak 1","06033",3.14285714285714,"Lake","California","West",39.0996,-122.7532,64195,0.518784722222222,4,46897,9.6
"201","peak 1","06035",6.14285714285714,"Lassen","California","West",40.6736,-120.5943,30818,0.233541927409262,7,53613,7.1
"202","peak 1","06037",2135.71428571429,"Los Angeles","California","West",34.3207,-118.2248,10081570,0.710431686315497,1,72721,12.8
"203","peak 1","06039",40.7142857142857,"Madera","California","West",37.218,-119.7627,155433,0.431257213059827,3,61105,10.8
"204","peak 1","06041",39,"Marin","California","West",38.0734,-122.7234,259943,0.82340934910559,1,112069,6.7
"205","peak 1","06043",1.14285714285714,"Mariposa","California","West",37.5815,-119.9054,17420,0.397665369649805,8,52760,10.9
"206","peak 1","06045",8.28571428571429,"Mendocino","California","West",39.4402,-123.3915,87224,0.664159128669005,4,52309,8.9
"207","peak 1","06047",78.7142857142857,"Merced","California","West",37.1919,-120.7177,271382,0.541091881026275,2,59733,12.2
"208","peak 1","06051",4,"Mono","California","West",37.9391,-118.8868,14310,0.595665726584533,7,66226,11.8
"209","peak 1","06053",92.7142857142857,"Monterey","California","West",36.2172,-121.2392,433410,0.695331425468169,2,76509,10.8
"210","peak 1","06055",16.2857142857143,"Napa","California","West",38.5065,-122.3305,139623,0.690732370150578,3,90230,8.7
"211","peak 1","06057",4.14285714285714,"Nevada","California","West",39.3014,-120.7685,99244,0.561633043961815,4,69550,8
"212","peak 1","06059",626.714285714286,"Orange","California","West",33.703,-117.7611,3168044,0.534925167162266,1,95761,8.8
"213","peak 1","06061",35,"Placer","California","West",39.0635,-120.7175,385512,0.45472880685227,1,97688,7.3
"214","peak 1","06063",0.714285714285714,"Plumas","California","West",40.0046,-120.8385,18660,0.405206112295665,7,59376,10.7
"215","peak 1","06065",654.428571428571,"Riverside","California","West",33.7437,-115.9938,2411439,0.529982251775826,1,72905,9.9
"216","peak 1","06067",225.285714285714,"Sacramento","California","West",38.4493,-121.3443,1524553,0.613690849099946,1,71891,9.3
"217","peak 1","06069",11.1428571428571,"San Benito","California","West",36.6057,-121.075,60376,0.611637347767253,1,84209,9.9
"218","peak 1","06071",738,"San Bernardino","California","West",34.8414,-116.1784,2149031,0.542088470992269,1,67398,9.4
"219","peak 1","06073",407,"San Diego","California","West",33.0341,-116.7353,3316073,0.602258069752429,1,83576,9.2
"220","peak 1","06075",89.5714285714286,"San Francisco","California","West",37.7562,-122.443,874961,0.852743664563499,1,121795,7.8
"221","peak 1","06077",289.428571428571,"San Joaquin","California","West",37.9348,-121.2714,742603,0.558644168865252,2,68458,11.3
"222","peak 1","06079",32,"San Luis Obispo","California","West",35.3871,-120.4045,282165,0.55304012374672,2,76599,7.7
"223","peak 1","06081",67.4285714285714,"San Mateo","California","West",37.4229,-122.329,767423,0.778883727394705,1,135234,6.9
"224","peak 1","06083",105,"Santa Barbara","California","West",34.6729,-120.0165,444829,0.648880611918837,2,74530,8
"225","peak 1","06085",178,"Santa Clara","California","West",37.2318,-121.6951,1927470,0.72657379820863,1,132444,7
